JSC Vector-26;24900
JSC Vector-18;130000
JSC Vector-4;136600
JSC Vector-21;77100
JSC Vector-8;38200
JSC Vector-14;19500
JSC Vector-7;148400
JSC Vector-9;100400
JSC Vector-9;141700
JSC Vector-28;90200
JSC Vector-20;55800
JSC Vector-28;85500
JSC Vector-3;63300
JSC Vector-21;57400
JSC Vector-21;47800
JSC Vector-23;45400
JSC Vector-24;89300
JSC Vector-7;59500
JSC Vector-18;129700
JSC Vector-29;59100
JSC Vector-13;114500
JSC Vector-11;10000
JSC Vector-27;15100
JSC Vector-4;81200
JSC Vector-8;100100
JSC Vector-12;144100
JSC Vector-20;137200
JSC Vector-25;90300
JSC Vector-24;69100
JSC Vector-20;45800
JSC Vector-2;102800
JSC Vector-2;143600
JSC Vector-10;120200
JSC Vector-15;129800
JSC Vector-21;146700
JSC Vector-1;125900
JSC Vector-23;125100
JSC Vector-30;124500
JSC Vector-6;11500
JSC Vector-13;51800
JSC Vector-30;64700
JSC Vector-29;22300
JSC Vector-26;143800
JSC Vector-16;46300
JSC Vector-5;44700
JSC Vector-29;20900
JSC Vector-12;92500
JSC Vector-13;139900
JSC Vector-11;73700
JSC Vector-5;24300
JSC Vector-14;29100
JSC Vector-29;42500
JSC Vector-23;57700
JSC Vector-11;50200
JSC Vector-14;147800
JSC Vector-11;84200
JSC Vector-12;103600
JSC Vector-29;105500
JSC Vector-22;148000
JSC Vector-24;140900
JSC Vector-22;138800
JSC Vector-11;38300
JSC Vector-24;130500
JSC Vector-18;93400
JSC Vector-4;120200
JSC Vector-16;25400
JSC Vector-24;113300
JSC Vector-12;147500
JSC Vector-27;143300
JSC Vector-4;128400
JSC Vector-27;22400
JSC Vector-16;99900
JSC Vector-14;64600
JSC Vector-6;80000
JSC Vector-18;89800
JSC Vector-14;139700
JSC Vector-15;40200
JSC Vector-30;49700
JSC Vector-2;23700
JSC Vector-27;147000
JSC Vector-10;86700
JSC Vector-6;80300
JSC Vector-5;51400
JSC Vector-2;16000
JSC Vector-30;122400
JSC Vector-15;81100
JSC Vector-9;36700
JSC Vector-2;148400
JSC Vector-21;77300
JSC Vector-19;48100
JSC Vector-17;113400
JSC Vector-30;116600
JSC Vector-20;113100
JSC Vector-29;88300
JSC Vector-24;54900
JSC Vector-20;130400
JSC Vector-6;26700
JSC Vector-26;107700
JSC Vector-21;65700
JSC Vector-15;115000
JSC Vector-22;93000
JSC Vector-1;28000
JSC Vector-18;113400
JSC Vector-16;12900
JSC Vector-30;97200
JSC Vector-10;26500
JSC Vector-29;15000
JSC Vector-14;114000
JSC Vector-15;63300
JSC Vector-2;24000
JSC Vector-10;61600
JSC Vector-21;55400
JSC Vector-11;35000
JSC Vector-20;88500
JSC Vector-21;92800
JSC Vector-5;53600
JSC Vector-1;97800
JSC Vector-6;80100
JSC Vector-21;45600
JSC Vector-2;45200
JSC Vector-22;97700
JSC Vector-4;129000
JSC Vector-5;43100
JSC Vector-22;21800
JSC Vector-4;18500
JSC Vector-30;77500
JSC Vector-4;143500
JSC Vector-22;59600
JSC Vector-5;118100
JSC Vector-5;57600
JSC Vector-11;91900
JSC Vector-11;33500
JSC Vector-5;76700
JSC Vector-16;126600
JSC Vector-7;123700
JSC Vector-6;24700
JSC Vector-22;26200
JSC Vector-23;50600
JSC Vector-22;20900
JSC Vector-9;120400
JSC Vector-9;144700
JSC Vector-16;49800
JSC Vector-24;12000
JSC Vector-23;10200
JSC Vector-7;19700
JSC Vector-3;103300
JSC Vector-19;131400
JSC Vector-4;81600
JSC Vector-28;32100
JSC Vector-1;72400
JSC Vector-17;132300
JSC Vector-26;27100
JSC Vector-2;44000
JSC Vector-8;113800
JSC Vector-10;45000
JSC Vector-4;91900
JSC Vector-27;66800
JSC Vector-22;140300
JSC Vector-30;25900
JSC Vector-22;73400
JSC Vector-22;115700
JSC Vector-22;26400
JSC Vector-21;134300
JSC Vector-9;70600
JSC Vector-22;130100
JSC Vector-12;103700
JSC Vector-20;128200
JSC Vector-27;10400
JSC Vector-29;104000
JSC Vector-11;135200
JSC Vector-3;126100
JSC Vector-11;71700
JSC Vector-23;119600
JSC Vector-25;77800
JSC Vector-2;139600
JSC Vector-26;105300
JSC Vector-19;59900
JSC Vector-9;70300
JSC Vector-9;116600
JSC Vector-30;11500
JSC Vector-2;69800
JSC Vector-28;81400
JSC Vector-29;143700
JSC Vector-6;114200
JSC Vector-22;106100
JSC Vector-22;111600
JSC Vector-1;68600
JSC Vector-30;42000
JSC Vector-8;128200
JSC Vector-26;59100
JSC Vector-7;127900
JSC Vector-17;23300
JSC Vector-17;66600
JSC Vector-2;30200
JSC Vector-4;138600
JSC Vector-25;98700
JSC Vector-27;116700
JSC Vector-12;107000
JSC Vector-13;42200
JSC Vector-1;130600
JSC Vector-11;17000
JSC Vector-23;144400
JSC Vector-1;38000
JSC Vector-25;84300
JSC Vector-7;32800
JSC Vector-13;67500
JSC Vector-27;108700
JSC Vector-30;119500
JSC Vector-21;103200
JSC Vector-5;99500
JSC Vector-6;118800
JSC Vector-7;27500
JSC Vector-17;28600
JSC Vector-3;143400
JSC Vector-28;43500
JSC Vector-6;137100
JSC Vector-18;77600
JSC Vector-2;106800
JSC Vector-7;108000
JSC Vector-8;53700
JSC Vector-3;36400
JSC Vector-26;131400
JSC Vector-13;111200
JSC Vector-18;87100
JSC Vector-19;100700
JSC Vector-24;46100
JSC Vector-19;150000
JSC Vector-13;77100
